Student_Name,CGPA,Python,SQL,PowerBI,Projects,Certifications,Internships,Communication,Aptitude
Yesha,8.9,95,88,92,5,7,2,85,92
Riya,8.5,87,85,80,4,5,1,90,88
Aarav,9.1,92,95,91,6,8,2,89,94
Neha,8.7,90,82,85,5,6,1,87,90
Karan,8.3,85,80,78,3,4,1,82,84
Priya,9.0,94,91,89,6,7,2,91,93
Rahul,8.6,88,84,83,4,5,1,86,87
Ananya,9.2,96,94,93,7,8,3,92,95
Vivek,8.4,83,79,81,3,4,1,80,82
Sneha,8.8,91,87,88,5,6,2,89,91
Rohan,8.2,82,78,76,3,3,1,79,80
Meera,9.1,95,92,90,6,8,2,93,94
Arjun,8.7,89,86,84,5,5,2,87,89
Pooja,8.9,93,89,91,6,7,2,90,92
Aditya,8.5,86,83,82,4,5,1,85,86
Isha,9.3,97,95,94,7,9,3,94,96
Manav,8.1,80,77,75,2,3,0,78,79
Kavya,8.8,92,88,89,5,6,2,90,91
Yash,8.6,87,84,85,4,5,1,86,88
Nidhi,9.0,94,90,92,6,7,2,91,93
Dev,8.4,84,81,80,3,4,1,83,84
Tanvi,8.9,93,89,90,5,7,2,90,92
Harsh,8.3,82,79,78,3,4,1,81,83
Diya,9.2,96,93,94,7,8,3,93,95
Krish,8.7,89,86,87,5,6,2,88,89
Aisha,8.8,91,87,88,5,6,2,89,90
Ritesh,8.2,81,78,79,3,4,1,80,82
Simran,9.1,95,92,91,6,8,2,92,94
Jay,8.5,86,84,83,4,5,1,85,87
Khushi,9.0,94,90,92,6,7,2,91,93
Parth,8.4,83,80,81,3,4,1,82,84
Ankit,8.7,89,86,87,5,6,2,88,89
Mitali,9.3,97,95,94,7,9,3,94,96
Dhruv,8.1,79,76,77,2,3,0,77,78
Shreya,8.9,92,89,90,5,7,2,90,92
Tushar,8.3,82,79,80,3,4,1,81,83
Palak,9.2,96,94,93,7,8,3,93,95
Mohit,8.6,88,85,84,4,5,1,86,88
Nikita,8.8,91,88,89,5,6,2,89,91
Aryan,8.5,85,83,82,4,5,1,84,86
Riddhi,9.0,93,90,91,6,7,2,91,92
Sahil,8.4,84,81,80,3,4,1,83,85
Vaibhav,8.7,90,86,88,5,6,2,88,90
Muskan,9.1,95,93,92,6,8,2,92,94
Keshav,8.2,80,78,77,3,3,1,79,81
Jiya,8.9,93,89,90,5,7,2,90,92
Naman,8.6,87,84,85,4,5,1,86,87
Sakshi,9.2,96,94,95,7,8,3,94,95
Yuvraj,8.3,82,80,79,3,4,1,81,82
Bhavya,8.8,92,88,89,5,6,2,89,91
Aditi,8.8,91,87,,5,6,2,89,91
Raj,8.4,85,,80,4,5,1,84,86
Kriti,9.0,94,91,92,,7,2,91,93
Vansh,,88,84,83,4,5,1,86,87
Siya,8.7,90,86,88,5,,2,89,90
Harit,8.3,82,79,78,3,4,,81,83
Mahi,8.9,,89,90,5,7,2,90,92
Devansh,8.5,86,83,82,4,5,1,,86
Anvi,9.2,96,94,95,7,8,3,94,
Rudra,8.1,80,77,75,2,3,0,78,
Aarav,9.1,92,95,91,6,8,2,89,94
Neha,8.7,90,82,85,5,6,1,87,90
Rohan,8.2,82,78,76,3,3,1,79,80
