Student_Name,CGPA,Python,SQL,PowerBI,Projects,Certifications,Internships,Communication,Aptitude
Yesha,8.9,95.0,88.0,92.0,5,7,2,85.0,92.0
Riya,8.5,87.0,85.0,80.0,4,5,1,90.0,88.0
Aarav,9.1,92.0,95.0,91.0,6,8,2,89.0,94.0
Neha,8.7,90.0,82.0,85.0,5,6,1,87.0,90.0
Karan,8.3,85.0,80.0,78.0,3,4,1,82.0,84.0
Priya,9.0,94.0,91.0,89.0,6,7,2,91.0,93.0
Rahul,8.6,88.0,84.0,83.0,4,5,1,86.0,87.0
Ananya,9.2,96.0,94.0,93.0,7,8,3,92.0,95.0
Vivek,8.4,83.0,79.0,81.0,3,4,1,80.0,82.0
Sneha,8.8,91.0,87.0,88.0,5,6,2,89.0,91.0
Rohan,8.2,82.0,78.0,76.0,3,3,1,79.0,80.0
Meera,9.1,95.0,92.0,90.0,6,8,2,93.0,94.0
Arjun,8.7,89.0,86.0,84.0,5,5,2,87.0,89.0
Pooja,8.9,93.0,89.0,91.0,6,7,2,90.0,92.0
Aditya,8.5,86.0,83.0,82.0,4,5,1,85.0,86.0
Isha,9.3,97.0,95.0,94.0,7,9,3,94.0,96.0
Manav,8.1,80.0,77.0,75.0,2,3,0,78.0,79.0
Kavya,8.8,92.0,88.0,89.0,5,6,2,90.0,91.0
Yash,8.6,87.0,84.0,85.0,4,5,1,86.0,88.0
Nidhi,9.0,94.0,90.0,92.0,6,7,2,91.0,93.0
Dev,8.4,84.0,81.0,80.0,3,4,1,83.0,84.0
Tanvi,8.9,93.0,89.0,90.0,5,7,2,90.0,92.0
Harsh,8.3,82.0,79.0,78.0,3,4,1,81.0,83.0
Diya,9.2,96.0,93.0,94.0,7,8,3,93.0,95.0
Krish,8.7,89.0,86.0,87.0,5,6,2,88.0,89.0
Aisha,8.8,91.0,87.0,88.0,5,6,2,89.0,90.0
Ritesh,8.2,81.0,78.0,79.0,3,4,1,80.0,82.0
Simran,9.1,95.0,92.0,91.0,6,8,2,92.0,94.0
Jay,8.5,86.0,84.0,83.0,4,5,1,85.0,87.0
Khushi,9.0,94.0,90.0,92.0,6,7,2,91.0,93.0
Parth,8.4,83.0,80.0,81.0,3,4,1,82.0,84.0
Ankit,8.7,89.0,86.0,87.0,5,6,2,88.0,89.0
Mitali,9.3,97.0,95.0,94.0,7,9,3,94.0,96.0
Dhruv,8.1,79.0,76.0,77.0,2,3,0,77.0,78.0
Shreya,8.9,92.0,89.0,90.0,5,7,2,90.0,92.0
Tushar,8.3,82.0,79.0,80.0,3,4,1,81.0,83.0
Palak,9.2,96.0,94.0,93.0,7,8,3,93.0,95.0
Mohit,8.6,88.0,85.0,84.0,4,5,1,86.0,88.0
Nikita,8.8,91.0,88.0,89.0,5,6,2,89.0,91.0
Aryan,8.5,85.0,83.0,82.0,4,5,1,84.0,86.0
Riddhi,9.0,93.0,90.0,91.0,6,7,2,91.0,92.0
Sahil,8.4,84.0,81.0,80.0,3,4,1,83.0,85.0
Vaibhav,8.7,90.0,86.0,88.0,5,6,2,88.0,90.0
Muskan,9.1,95.0,93.0,92.0,6,8,2,92.0,94.0
Keshav,8.2,80.0,78.0,77.0,3,3,1,79.0,81.0
Jiya,8.9,93.0,89.0,90.0,5,7,2,90.0,92.0
Naman,8.6,87.0,84.0,85.0,4,5,1,86.0,87.0
Sakshi,9.2,96.0,94.0,95.0,7,8,3,94.0,95.0
Yuvraj,8.3,82.0,80.0,79.0,3,4,1,81.0,82.0
Bhavya,8.8,92.0,88.0,89.0,5,6,2,89.0,91.0
Aditi,8.8,91.0,87.0,85.8,5,6,2,89.0,91.0
Raj,8.4,85.0,86.0,80.0,4,5,1,84.0,86.0
Kriti,9.0,94.0,91.0,92.0,4,7,2,91.0,93.0
Vansh,8.7,88.0,84.0,83.0,4,5,1,86.0,87.0
Siya,8.7,90.0,86.0,88.0,5,5,2,89.0,90.0
Harit,8.3,82.0,79.0,78.0,3,4,1,81.0,83.0
Mahi,8.9,89.0,89.0,90.0,5,7,2,90.0,92.0
Devansh,8.5,86.0,83.0,82.0,4,5,1,86.9,86.0
Anvi,9.2,96.0,94.0,95.0,7,8,3,94.0,88.8
Rudra,8.1,80.0,77.0,75.0,2,3,0,78.0,88.8
